Grit,Alcohol,Water,TiO_2,Plasma Power,Standoff,Nozzle Dia,SA,WCA,Num_Imgs
3.5,1,0,10,25,5,8,11.7,165,2
2.5,1,0,10,25,5,8,10.3,162,2
1.5,1,0,10,25,5,8,10.1,165,1
3.5,1,0,10,36,5,8,4.1,166,1
2.5,1,0,10,36,5,8,3.7,165,2
1.5,1,0,10,36,5,8,1.3,168,0
3.5,1,0,10,25,3,8,16.3,164,1
2.5,1,0,10,25,3,8,13.3,155,2
1.5,1,0,10,25,3,8,9.8,165,2
3.5,1,0,10,25,5,5,6.2,165,2
2.5,1,0,10,25,5,5,7.2,159,1
1.5,1,0,10,25,5,5,5.3,163,1
3.5,0,1,10,25,5,8,20,137,2
2.5,0,1,10,25,5,8,20,140,3
1.5,0,1,10,25,5,8,20,142,2
3.5,1,0,20,25,5,8,3.8,165,0
2.5,1,0,20,25,5,8,3.4,169,1
1.5,1,0,20,25,5,8,1.4,170,1
3.5,1,0,20,36,5,8,7.1,157,2
2.5,1,0,20,36,5,8,6.3,155,1
1.5,1,0,20,36,5,8,4,160,1
3.5,1,0,20,25,5,8,3.8,165,1
2.5,1,0,20,25,5,8,3.4,169,1
1.5,1,0,20,25,5,8,1.4,170,0
3.5,1,0,20,36,5,8,7.1,157,1
2.5,1,0,20,36,5,8,6.3,155,2
1.5,1,0,20,36,5,8,4,160,1